"","low","est","high","ID","type","metric"
"t[velocity] (hours)214",2.72058089624969,3.99821250300475,5.87584189877232,"BW046nex2015Snow","OUF anisotropic","t[velocity] (hours)214"
"speed (kilometers/day)287",21.3422358818373,23.7459387583314,26.1465306958033,"BW046nex2015Snow","OUF anisotropic","speed (kilometers/day)287"
"area (square kilometers)315",1109.59778408805,1410.09640236813,1746.05854313637,"BW047nex2015SnowFree","OUF anisotropic","area (square kilometers)315"
"t[position] (days)265",1.58111393832028,2.14712482775149,2.91575762771691,"BW047nex2015SnowFree","OUF anisotropic","t[position] (days)265"
"t[velocity] (minutes)65",11.0507972877345,40.5896328662915,149.085921433827,"BW047nex2015SnowFree","OUF anisotropic","t[velocity] (minutes)65"
"speed (kilometers/day)288",33.8497297663777,50.1261557036763,66.3848750739803,"BW047nex2015SnowFree","OUF anisotropic","speed (kilometers/day)288"
"area (square kilometers)316",1296.66937989952,1797.99431051672,2379.98058319539,"BW049nex2015SnowFree","OUf anisotropic","area (square kilometers)316"
"t (hours)6",8.99939161064811,10.8933618424089,13.1859282675559,"BW049nex2015SnowFree","OUf anisotropic","t (hours)6"
"speed (kilometers/day)289",27.3275506608451,31.2540170097665,35.1744343116147,"BW049nex2015SnowFree","OUf anisotropic","speed (kilometers/day)289"
"area (square kilometers)317",1858.06353345166,2578.7378597752,3415.68216873977,"BW049nex2015Snow","OUF isotropic","area (square kilometers)317"
"t[position] (days)266",2.73377326786426,4.0536304505022,6.01071055247973,"BW049nex2015Snow","OUF isotropic","t[position] (days)266"
"t[velocity] (hours)215",0.775114773272079,1.22739985209549,1.94359654708221,"BW049nex2015Snow","OUF isotropic","t[velocity] (hours)215"
"speed (kilometers/day)290",30.7654953191014,36.3552954595683,41.9351972081019,"BW049nex2015Snow","OUF isotropic","speed (kilometers/day)290"
"area (square kilometers)318",1307.54072012155,1620.07720864267,1965.60301467099,"BW049nex2016SnowFree","OUF anisotropic","area (square kilometers)318"
"t[position] (days)267",1.18299727636103,1.58202827423066,2.11565445709566,"BW049nex2016SnowFree","OUF anisotropic","t[position] (days)267"
"t[velocity] (hours)216",0.67791789800575,1.20070197711172,2.12663693063871,"BW049nex2016SnowFree","OUF anisotropic","t[velocity] (hours)216"
"speed (kilometers/day)291",38.8313930408296,47.1351112618217,55.423015874789,"BW049nex2016SnowFree","OUF anisotropic","speed (kilometers/day)291"
"area (square kilometers)319",1594.14239042554,2769.79737367232,4264.87399219725,"BW049nex2016Snow","OUF anisotropic","area (square kilometers)319"
"t[position] (days)268",1.13778536361074,2.58119365585158,5.85572718905872,"BW049nex2016Snow","OUF anisotropic","t[position] (days)268"
"t[velocity] (hours)217",2.51592072416167,3.90144143199856,6.0499701366333,"BW049nex2016Snow","OUF anisotropic","t[velocity] (hours)217"
"speed (kilometers/day)292",24.4891355068294,27.4135377866983,30.3339847346569,"BW049nex2016Snow","OUF anisotropic","speed (kilometers/day)292"
"area (square kilometers)320",838.717086925805,3031.92903177398,6608.51353827542,"BW0502014Snow","OUF anisotropic","area (square kilometers)320"
"t[position] (days)269",0.0147708864360264,5.19616023424544,1827.92558164286,"BW0502014Snow","OUF anisotropic","t[position] (days)269"
"t[velocity] (hours)218",1.03756123864616,1.52062723089087,2.22859826408319,"BW0502014Snow","OUF anisotropic","t[velocity] (hours)218"
"speed (kilometers/day)293",29.0437795552734,31.9067611314077,34.7664050323052,"BW0502014Snow","OUF anisotropic","speed (kilometers/day)293"
"area (square kilometers)321",1240.02321778939,1579.81398851212,1960.12593816496,"BW0502015SnowFree","OUF anisotropic","area (square kilometers)321"
"t[position] (days)270",1.71184580117094,2.26489971125761,2.99663129619849,"BW0502015SnowFree","OUF anisotropic","t[position] (days)270"
"t[velocity] (hours)219",1.02061798063182,1.18920671411923,1.38564343931192,"BW0502015SnowFree","OUF anisotropic","t[velocity] (hours)219"
"speed (kilometers/day)294",37.097076898095,38.7217385042522,40.3454740055659,"BW0502015SnowFree","OUF anisotropic","speed (kilometers/day)294"
"area (square kilometers)322",771.701023027958,1985.41518728118,3762.60284292734,"BW0512014Snow","OUF anisotropic","area (square kilometers)322"
"t[position] (days)271",0.59800255113155,2.9493394583779,14.5460972102631,"BW0512014Snow","OUF anisotropic","t[position] (days)271"
"t[velocity] (hours)220",1.0135655495713,1.50691339508454,2.24039578026865,"BW0512014Snow","OUF anisotropic","t[velocity] (hours)220"
"speed (kilometers/day)295",31.4441665318424,34.7537259345851,38.0592207767846,"BW0512014Snow","OUF anisotropic","speed (kilometers/day)295"
"area (square kilometers)323",11498.1605879795,59621.5723316726,146567.056155126,"BW0512015SnowFree","OUF anisotropic","area (square kilometers)323"
"t[position] (months)12",0,2.46839619953495,5.35179238506251,"BW0512015SnowFree","OUF anisotropic","t[position] (months)12"
"t[velocity] (hours)221",1.69100547492638,1.90307562563129,2.14174163867187,"BW0512015SnowFree","OUF anisotropic","t[velocity] (hours)221"
"speed (kilometers/day)296",32.4234980751207,33.4945218476146,34.5650779337489,"BW0512015SnowFree","OUF anisotropic","speed (kilometers/day)296"
"area (square kilometers)324",1052.72391306972,1680.08729631102,2451.72669180699,"BW0522015Snow","OUF isotropic","area (square kilometers)324"
"t[position] (days)272",1.50498218124469,2.6883444697703,4.80218043655994,"BW0522015Snow","OUF isotropic","t[position] (days)272"
"t[velocity] (hours)222",0.87133200626108,1.11750314132685,1.43322322823202,"BW0522015Snow","OUF isotropic","t[velocity] (hours)222"
