"","ID","name","Esttype","SA","type","est","ExtraTerr","EVIMean","LFD"
"51","1400192013Snow","1400192013Snow 95% est","est","SK","OUF anisotropic",1892.51344965761,0,1073.1464084298,0.00221739098473782
"52","1400192014Snow","1400192014Snow 95% est","est","SK","OUF anisotropic",2052.97011160072,0,998.338910026858,0.00256309984592099
"53","1400192014SnowFree","1400192014SnowFree 95% est","est","SK","OUF anisotropic",1932.95529369345,0,985.620772318442,0.0020369241860262
"54","1400202013Snow","1400202013Snow 95% est","est","SK","OUF anisotropic",4202.28122333806,0,959.972281525761,0.00608248115758292
"55","1400202014Snow","1400202014Snow 95% est","est","SK","OUF anisotropic",26234.7787304101,1,966.16954043212,0.00256613291257078
"56","1400202014SnowFree","1400202014SnowFree 95% est","est","SK","OUF anisotropic",2464.57686925849,0,949.662927141486,0.0115275484686534
"57","1400202015Snow","1400202015Snow 95% est","est","SK","OUF anisotropic",82454.4470046366,1,737.816573897759,0.00777853998141288
"58","1400202015SnowFree","1400202015SnowFree 95% est","est","SK","OUF anisotropic",18182.0647476397,1,663.505501443001,0.0117457315603138
"59","1400212014Snow","1400212014Snow 95% est","est","SK","OUF anisotropic",2826.40174153123,0,947.179739599873,0.00440938326662491
"60","1400212015Snow","1400212015Snow 95% est","est","SK","OUF anisotropic",2162.95124789759,0,780.64290797808,0.00863783074513998
"61","1400212015SnowFree","1400212015SnowFree 95% est","est","SK","OUF isotropic",1054.69765302452,0,731.499125249929,0.0114761223542198
"62","1400222013Snow","1400222013Snow 95% est","est","SK","OUF anisotropic",2381.59556264432,0,332.392113477419,0.051312409752561
"63","1400222014SnowFree","1400222014SnowFree 95% est","est","SK","OUF anisotropic",1425.03652145274,0,650.785509352411,0.032979512308427
"64","1400232013Snow","1400232013Snow 95% est","est","SK","OUF anisotropic",3347.45821293028,0,201.523516629222,0.000336819945236662
"65","1400232014Snow","1400232014Snow 95% est","est","SK","OUF isotropic",42664.8568021754,1,394.309048947677,0.000698635810777832
"66","1400232014SnowFree","1400232014SnowFree 95% est","est","SK","OUF anisotropic",4563.84030940819,0,376.096403058477,0.000556479686213164
"67","1400242013Snow","1400242013Snow 95% est","est","SK","OUF anisotropic",1447.54037370026,0,438.715924531232,0.0437623116843347
"68","1400252013Snow","1400252013Snow 95% est","est","SK","OUF anisotropic",2359.43616329299,0,985.15523697443,0.0102734064882717
"69","1400262013Snow","1400262013Snow 95% est","est","SK","OUF anisotropic",799.846426848325,0,722.003996074033,0.00637674030425054
"70","1400262014SnowFree","1400262014SnowFree 95% est","est","SK","OUF anisotropic",3408.15712024196,0,759.607152744135,0.00480057784737797
"71","1400272013Snow","1400272013Snow 95% est","est","SK","OUF anisotropic",713.598165083821,0,720.340458792946,0.0063945832530286
"72","1400272014Snow","1400272014Snow 95% est","est","SK","OUF anisotropic",3652.85903307801,0,752.300783162017,0.0062068076031477
"73","1400272014SnowFree","1400272014SnowFree 95% est","est","SK","OUF anisotropic",3463.42041940534,0,762.482910274613,0.00464201636281597
"74","1400282014Snow","1400282014Snow 95% est","est","SK","OUF anisotropic",480.12686477498,0,1340.95408403727,0.00670007517265834
"75","1400282015SnowFree","1400282015SnowFree 95% est","est","SK","OUF anisotropic",719.422914363013,0,1170.09731786879,0.007774932186606
"76","1400292014Snow","1400292014Snow 95% est","est","SK","OUF isotropic",1649.03323571132,0,1262.69497770021,0.0100190200055097
"77","1400302014Snow","1400302014Snow 95% est","est","SK","OUF anisotropic",1753.03552740779,0,600.493540973213,0.026172075017419
"78","1400302015Snow","1400302015Snow 95% est","est","SK","OUF anisotropic",1490.37078800118,0,502.765937883122,0.0352510862679722
"79","1400302015SnowFree","1400302015SnowFree 95% est","est","SK","OUF anisotropic",996.606844442152,0,499.807642903019,0.0298491338729273
"80","1400312014Snow","1400312014Snow 95% est","est","SK","OUF anisotropic",2552.92388337904,0,1009.88598494777,0
"81","1400312015SnowFree","1400312015SnowFree 95% est","est","SK","OUF anisotropic",2554.27398390256,0,809.945124716553,0
"82","1400322014Snow","1400322014Snow 95% est","est","SK","OUF anisotropic",1463.90268956226,0,609.563905209557,0.0180234908503544
"83","1400352014Snow","1400352014Snow 95% est","est","SK","OUF anisotropic",6600.47398133424,0,895.327803400564,0.00142200846172651
"84","1400362014Snow","1400362014Snow 95% est","est","SK","OUF anisotropic",1241.89794298399,0,985.814696008952,0.00147308894427127
"85","1400362015Snow","1400362015Snow 95% est","est","SK","OUF anisotropic",3235.95331791086,0,871.403826443457,0.000752218175346372
"86","1400362015SnowFree","1400362015SnowFree 95% est","est","SK","OUF anisotropic",1333.16694000086,0,856.583926641071,0.00247279497208339
"87","1400372014Snow","1400372014Snow 95% est","est","SK","OUF isotropic",1177.24211751182,0,1015.92125116713,0.00691436173131747
"88","1400372015Snow","1400372015Snow 95% est","est","SK","OUF anisotropic",2966.37125891608,1,726.688452812164,0.00718832081418232
"89","1400372015SnowFree","1400372015SnowFree 95% est","est","SK","OUF anisotropic",662.754720256202,0,735.299596058741,0.00727263352071047
"90","1400382014Snow","1400382014Snow 95% est","est","SK","OUF anisotropic",4916.42131210771,0,785.233965968586,0.019664637935934
"91","1400382015Snow","1400382015Snow 95% est","est","SK","OUF anisotropic",2661.01361615709,0,819.572231488868,0.0107858016810303
"92","1400382015SnowFree","1400382015SnowFree 95% est","est","SK","OUF anisotropic",1232.76284930699,0,743.165955840725,0.0323687824664714
"93","1400392014Snow","1400392014Snow 95% est","est","SK","OUF isotropic",5939.58908626383,0,711.546493706653,0.00121488142752123
"94","1400392015Snow","1400392015Snow 95% est","est","SK","OUF anisotropic",11639.0722010134,0,661.300347844797,0.0026477644560742
"95","1400392015SnowFree","1400392015SnowFree 95% est","est","SK","OUF anisotropic",2065.43359845131,0,587.834511426897,0.00125968881563957
"96","BW0082012Snow","BW0082012Snow 95% est","est","BC","OU anisotropic",1275.22211595504,0,1695.10732185311,0.0782663457536392
"97","BW0082013Snow","BW0082013Snow 95% est","est","BC","OU anisotropic",1572.45958691767,0,1639.07795025067,0.100806048200936
"98","BW0082013SnowFree","BW0082013SnowFree 95% est","est","BC","OUF anisotropic",687.092980354921,0,1633.75925628593,0.102659915562129
"99","BW0082014SnowFree","BW0082014SnowFree 95% est","est","BC","OUF anisotropic",763.121753485666,0,1913.66043899456,0.0981828751599448
"100","BW0092012Snow","BW0092012Snow 95% est","est","BC","OU anisotropic",1165.64298690446,0,1694.86366409762,0.0786540862444895
"101","BW0092013Snow","BW0092013Snow 95% est","est","BC","OU anisotropic",1544.74396609317,0,1637.49053267753,0.100730412814075
"102","BW0092013SnowFree","BW0092013SnowFree 95% est","est","BC","OU anisotropic",805.696487637577,0,1637.88926530088,0.102103356641087
"103","BW0092014SnowFree","BW0092014SnowFree 95% est","est","BC","OUF anisotropic",945.081991569402,0,1913.11863998458,0.103671931269594
"104","BW0102012Snow","BW0102012Snow 95% est","est","BC","OUF isotropic",1939.72483539989,0,1516.93945300019,0.335130465761247
"105","BW0102013Snow","BW0102013Snow 95% est","est","BC","OUF anisotropic",4720.55778229475,0,1292.54572615434,0.195059870669755
"106","BW0102013SnowFree","BW0102013SnowFree 95% est","est","BC","OUF isotropic",107781.696335575,1,1633.1731861606,0.292976820855582
"107","BW0102014SnowFree","BW0102014SnowFree 95% est","est","BC","OUF anisotropic",1566.81125264425,0,1138.03522251685,0.196262614375969
"108","BW0122012Snow","BW0122012Snow 95% est","est","BC","OUf isotropic",981.543821240248,0,1805.43594817132,0.473066224567695
"109","BW0122013Snow","BW0122013Snow 95% est","est","BC","OU isotropic",2758.20594824426,0,1673.46523765442,0.492394826108668
"110","BW0122013SnowFree","BW0122013SnowFree 95% est","est","BC","OUF anisotropic",941.307868468529,0,1609.04135014363,0.541703627676918
"111","BW0122014SnowFree","BW0122014SnowFree 95% est","est","BC","OUF anisotropic",1045.25097276673,0,1695.38950928467,0.495931481086378
"112","BW0132013SnowFree","BW0132013SnowFree 95% est","est","BC","OUF anisotropic",555.956522752525,0,1512.03403429311,0.323737128293711
